"Job Name","Post Person Jobs","Provider","Salary Min","Salary Max","Job Type"
"[勤務地＊流山市]◆交通費全額支給！【日払いOK】【軽作業】【週３日OK】☆今月ピンチ！そんなアナタもお小遣いGET☆/MaA-045","NA-211 maxalpha株式会社","マックスアルファ","￥1,140","￥1,425","パートタイム"
"ピッキングスタッフ","株式会社シーエックスカーゴ","engage","￥960","￥1,289","フルタイム"
"梱包・仕分け・検品","宮内工産グループ","はたらこねっと","￥1,151","￥1,439","フルタイム"
"フォークリフト・玉掛け","株式会社オープンループパートナーズ 大宮支店","しごとら","￥1,330","","フルタイム"
"配送・物流・在庫管理スタッフ","ジョブポスト","ジョブポスト","","","パートタイム"
"【★人気のお仕事に増枠です★】【男性活躍中！】【定着率抜群】「マウス」や「充電器」など小物機器の在庫管理と格納作業-----------★","株式会社ホットスタッフ","ホットスタッフ","￥1,140","",""
"派遣 高時給1300円・資材の運搬／カウンター・フォークリフト","株式会社G&G","ハケンギフト","￥1300","","フルタイム"
"倉庫内・軽作業／倉庫スタッフ","エヌエス・ジャパン株式会社(アマゾン流山/軽作業スタッフ)(夜勤)-151","シフトワークス","￥1,140","",""
"倉庫スタッフ","エヌエス・ジャパン株式会社 大宮支店","ニフティアルバイト - @Nifty","￥1,140","￥1,425","パートタイム"
"【パート】倉庫内軽作業スタッフ「南荻島」 (出荷・受荷係事務員) [埼玉県越谷市]","有限会社 イズム","Jobposting Navi","￥956","","パートタイム"
"シール貼り／倉庫スタッフ","エヌエス・ジャパン株式会社","マッハバイト","￥1,140","￥1,425","パートタイム"
"色んな商品を扱う倉庫でカンタン仕分け・若手活躍中","333-NGY　MAXPLPHA(株)","マックスアルファ","￥1,200","￥1,725","フルタイム"
"倉庫スタッフ","エヌエス・ジャパン株式会社(アマゾン流山/軽作業スタッフ)(夜勤)-201","らくらくアルバイト","￥1,140","","パートタイム"
"ピッキング（検品・梱包・仕分け）","株式会社オープンループパートナーズ 大宮支店","しごとら","￥1,280","","パートタイム"
"配送・物流・在庫管理スタッフ","ジョブポスト","ジョブポスト","","","パートタイム"
"＼大人気案件につき増員中／【駅チカ】【私服勤務ok‼】【時給‼1350円‼】カタログやチラシを扱う工場内での軽作業スタッフ--★【先輩がしっかりサポート！】","株式会社ホットスタッフ","ホットスタッフ","￥1,350","",""
"倉庫内・軽作業／倉庫スタッフ","エヌエス・ジャパン株式会社(アマゾン流山/軽作業スタッフ)(夜勤)-222","シフトワークス","￥1,140","",""
"倉庫内軽作業","楽天スーパーロジスティクス株式会社","engage","","","フルタイム"
"大手通販サイトの物流倉庫で軽作業","大手通販サイトの流山倉庫　　《マックスアルファ株式会社》","しゅふＪＯＢ","￥1200","￥1500",""
"倉庫・物流・梱包スタッフ 、 建築・土木工事・軽作業","SBSロジコム株式会社","モッピーバイト","￥950","","パートタイム"
"倉庫スタッフ","エヌエス・ジャパン株式会社 大宮支店","ニフティアルバイト - @Nifty","￥1,140","￥1,425","パートタイム"
"倉庫スタッフ","エヌエス・ジャパン株式会社 大宮支店(流山)","はた楽求人ナビ","","","パートタイム"
"シール貼り／倉庫スタッフ","エヌエス・ジャパン株式会社","マッハバイト","￥1,140","","パートタイム"
"品出し・仕分け・入出荷作業/軽作業","株式会社エヌエフエー　採用センター","Adopt.jp","￥1,140","￥1,425",""
"倉庫内での仕分けwork・履歴書ナシで登録ＯＫ","245-NGY　MAXPLPHA(株)","マックスアルファ","￥1,200","￥1,725","フルタイム"
"軽作業（梱包・仕分け・検品）","株式会社マンネット","エン派遣 - エン・ジャパン","￥1400","",""
"倉庫スタッフ","エヌエス・ジャパン株式会社(アマゾン流山/軽作業スタッフ)(日勤)-209","らくらくアルバイト","￥1,140","","パートタイム"
"倉庫内・軽作業／倉庫スタッフ","エヌエス・ジャパン株式会社(アマゾン流山/軽作業スタッフ)(夜勤)-025","シフトワークス","￥1,140","",""
"フォークリフト","株式会社ケンジン","engage","","","フルタイム"
"倉庫スタッフ","エヌエス・ジャパン株式会社 大宮支店(流山)","はた楽求人ナビ","","","パートタイム"
"品出し・仕分け・入出荷作業/軽作業","株式会社エヌエフエー　採用センター","Adopt.jp","￥1,140","￥1,425",""
"倉庫内での仕分けSTAFF・さくっと稼げる仕事","500-NGY　MAXPLPHA(株)","マックスアルファ","￥1,200","￥1,725","フルタイム"
"倉庫スタッフ","エヌエス・ジャパン株式会社(アマゾン流山/軽作業スタッフ)(日勤)-242","らくらくアルバイト","￥1,140","","パートタイム"
